#
# "Summary" ["ExecutionWasted","Starvation","BranchStallPercent","ICacheStallPercent","BranchMispredictionRate","AvgICacheMissPenalty","ICacheMispredictionCorrelation","ICacheMissRate"]
# Formula "ExecutionWasted" ((1.0)-(((UOPS_RETIRED:ANY)/(RS_UOPS_DISPATCHED))))
# Formula "Starvation" ((((RS_UOPS_DISPATCHED_NONE)-(RESOURCE_STALLS:ANY)))/(UNHALTED_CORE_CYCLES))
# Formula "BranchStallPercent" ((RESOURCE_STALLS:BR_MISS_CLEAR)/(UNHALTED_CORE_CYCLES))
# Formula "ICacheStallPercent" ((CYCLES_L1I_MEM_STALLED)/(UNHALTED_CORE_CYCLES))
# Formula "BranchMispredictionRate" ((BR_MISSP_EXEC)/(BR_INST_EXEC))
# Formula "AvgICacheMissPenalty" ((CYCLES_L1I_MEM_STALLED)/(L1I_MISSES))
# Formula "ICacheMispredictionCorrelation" ((BR_MISSP_EXEC)/(L1I_MISSES))
# Formula "ICacheMissRate" ((L1I_MISSES)/(L1I_READS))
#
n	ExecutionWasted	Starvation	BranchStallPercent	ICacheStallPercent	BranchMispredictionRate	AvgICacheMissPenalty	ICacheMispredictionCorrelation	ICacheMissRate
"anna"	0.3413982667496097	0.19495884783124753	2.283864777529235e-2	8.55055258683673e-2	5.8400879143037265e-2	18.852975514993044	3.8423901344142073	4.960533814412416e-3
"ansi"	0.2892993684528291	0.6065996489630285	3.948285413143261e-2	0.6662302359436756	0.10421968952889582	104.41790103290403	1.0403138179955698	2.0459683004850477e-2
"atom"	0.3079772295281744	-0.21984053807217316	3.530628278220083e-2	2.3352332332053593e-2	2.372627171923583e-2	32.207490511051056	9.637477395864408	7.423981322856247e-4
"awards"	0.30744878198262343	0.42045836764601424	3.378717154641285e-2	0.4733122138682616	6.15113532326302e-2	83.87332237956346	1.5006092952192316	1.2176664068129225e-2
"banner"	0.2807079175546845	0.46656412280056997	4.094808616283927e-2	0.5470289910731045	5.372230236273433e-2	87.93682626391451	1.1569609547670276	1.3586065792173913e-2
"bernouilli"	0.16051045411303932	-0.14834777392938536	7.434549212857053e-3	1.7161252246079207e-2	1.1004975145866246e-2	26.94280928662466	3.1636157152186497	6.485124257326761e-4
"boyer"	0.3449413436590215	5.2639595869521365e-3	2.6039156850418944e-2	2.662544383561078e-2	4.323447977830157e-2	49.591542272426615	24.986402159371032	5.517282553150784e-4
"boyer2"	0.3024441274167756	8.518908972080638e-2	2.2373939722052677e-2	4.39457202622183e-2	3.3744047615575735e-2	77.27487567443498	20.515874962517998	5.960927742217668e-4
"bspt"	0.34582316756121473	7.376239388258332e-2	4.519741303393659e-2	9.281535262969043e-2	5.176081691836193e-2	39.63568674357496	6.109388475986973	2.5913321099208762e-3
"cacheprof"	0.3100669372434556	4.9541589077557256e-2	4.128381772910552e-2	6.364968127131991e-2	3.4826357042067296e-2	20.859318002434833	3.7428815308428023	3.2576644031529394e-3
