#
# "Summary" ["UNHALTED_CORE_CYCLES","RS_UOPS_DISPATCHED","RS_UOPS_DISPATCHED_NONE","L1I_MISSES","L1I_READS","CYCLES_L1I_MEM_STALLED","BR_INST_EXEC","BR_MISSP_EXEC","UOPS_RETIRED:ANY","RESOURCE_STALLS:ANY","RESOURCE_STALLS:BR_MISS_CLEAR"]
#
n	UNHALTED_CORE_CYCLES	RS_UOPS_DISPATCHED	RS_UOPS_DISPATCHED_NONE	L1I_MISSES	L1I_READS	CYCLES_L1I_MEM_STALLED	BR_INST_EXEC	BR_MISSP_EXEC	UOPS_RETIRED:ANY	RESOURCE_STALLS:ANY	RESOURCE_STALLS:BR_MISS_CLEAR
"anna"	2.178008829e8	4.199189693e8	5.49343239e7	987812.2	1.991342529e8	1.86231727e7	6.49913865e7	3795554.1	2.765593602e8	1.24721117e7	4974276.4
"ansi"	635994.5	352537.0	446737.8	4046.1	197787.1	422441.7	40385.9	4209.0	250547.8	62023.7	25047.7
"atom"	4.416480393e8	9.252678996e8	8.38621321e7	320220.5	4.313327133e8	1.03135045e7	1.300710795e8	3086101.4	6.403064425e8	1.809542715e8	1.55929483e7
"awards"	771942.1	821191.2	388567.5	4336.2	356150.8	363636.5	105754.6	6505.1	568716.4	65803.5	25944.0
"banner"	650463.7	656517.9	370865.5	4033.5	296909.8	354629.1	86861.6	4666.4	472227.3	68338.5	26499.0
"bernouilli"	3.678370777e8	9.105721457e8	3.92817284e7	234297.8	3.612996189e8	6312564.5	6.73552581e7	741241.1	7.644154438e8	9.38527317e7	2734322.4
"boyer"	5.73477049e7	1.344019221e8	1.03437454e7	30793.4	5.58126462e7	1526911.3	1.77938864e7	769309.4	8.80411404e7	1.00418757e7	1493283.3
"boyer2"	1.10086245e7	2.5062734e7	1899579.6	6260.7	1.05029153e7	483761.9	3806203.2	128436.7	1.74826568e7	961770.8	246305.1
"bspt"	1.14626685e7	2.50508546e7	2681495.5	26852.9	1.03625747e7	1063895.2	3168537.9	164006.1	1.63876878e7	1835955.4	518081.9
"cacheprof"	7.687768e8	1.6966242982e9	1.705293753e8	2345828.1	7.200951365e8	4.89323706e7	2.521122419e8	8780150.5	1.1705571774e9	1.324430392e8	3.17380364e7
"calendar"	1098601.1	1638526.4	494174.4	4072.7	683594.4	413709.6	196187.6	12891.3	1043344.3	114164.8	47633.6
"cichelli"	1.933848307e8	4.466755878e8	2.80298669e7	37280.0	1.911356626e8	2246751.9	6.70267578e7	2298549.8	3.113515418e8	2.09289376e7	3134784.0
"circsim"	1.4987667623e9	2.6955734393e9	5.051026406e8	999507.9	1.4553020754e9	4.28333587e7	3.434926134e8	1.81792557e7	1.6681798694e9	5.817947033e8	1.037804687e8
"clausify"	6.12037323e7	1.445931552e8	1.10102873e7	17528.7	6.03317691e7	858718.5	2.20969226e7	1187552.5	9.4990329e7	2584658.3	724312.3
"comp_lab_zift"	2.901263731e8	7.039964577e8	4.83385744e7	150252.2	2.848241023e8	5267405.9	9.71907003e7	3813971.6	4.591308878e8	5.26394079e7	1.3332498e7
"compress"	3.436442499e8	8.756462319e8	4.04692749e7	148668.0	3.372262004e8	6413029.8	9.75148058e7	1685424.6	6.201155909e8	1.054173583e8	3271746.3
"compress2"	9.80974488e7	1.939093349e8	2.80976344e7	88138.3	9.43465905e7	3748581.3	2.11339675e7	820295.6	1.238675904e8	4.00461853e7	1567545.9
"constraints"	2.6244691352e9	5.4705484629e9	7.085071011e8	1173370.9	2.5772783987e9	4.73275306e7	8.343705115e8	2.57290304e7	3.7632932889e9	7.386686221e8	1.330422088e8
"cryptarithm1"	1.6607085076e9	4.0629753391e9	2.403356182e8	526267.2	1.6388758222e9	2.18679192e7	4.903504371e8	1.65454146e7	2.8393852683e9	3.928972341e8	8.12047693e7
"cryptarithm2"	2.62008153e7	6.35265654e7	4211938.8	18621.9	2.51728714e7	964149.0	8653360.3	299500.4	4.27757746e7	3949059.6	582750.8
"cse"	1597453.7	2815435.7	580931.4	6159.9	1165200.9	420370.2	357108.8	21957.2	1790433.5	165695.3	80848.8
"eliza"	1458038.7	2414055.8	565702.7	5421.9	992047.2	515004.7	364246.3	12215.3	1760579.8	143420.1	51847.5
"event"	1.995346375e8	3.97440891e8	4.87382463e7	57701.0	1.956308548e8	4013807.3	6.25426637e7	3337681.0	2.591172943e8	2.81594718e7	5539115.1
"exp3_8"	2.949598265e8	6.152967237e8	6.09964873e7	59318.0	2.904059327e8	4559157.0	1.033477427e8	187521.0	4.755652874e8	1.476150741e8	1109345.5
"expert"	1254390.1	1322728.4	682947.0	8553.9	664150.5	521959.1	185139.1	14305.0	880780.7	87508.7	36064.0
"fem"	4.19121519e7	9.71381268e7	7825465.9	80759.1	3.9283152e7	2584220.2	1.33873644e7	370725.6	6.77136635e7	9689985.7	1372296.2
"fft"	3.15689773e7	5.13025484e7	1.04587514e7	17808.9	2.99762356e7	1469773.9	6204905.3	168604.1	3.63395233e7	1.56648734e7	1538418.5
"fft2"	1.283846693e8	2.479977685e8	2.8198166e7	63920.4	1.255336777e8	2672066.8	3.2827419e7	1045515.0	1.719584609e8	4.93992511e7	9413002.3
"fibheaps"	5.16946045e7	1.182492926e8	9709858.7	41844.0	4.99174644e7	1788560.7	1.38164058e7	624523.6	7.70939833e7	1.26306794e7	1564258.0
"fish"	3.62554175e7	7.83198844e7	6626523.1	69948.6	3.38800157e7	2364805.1	9201590.8	430901.4	5.55244149e7	7437106.5	1163631.7
"fluid"	1.86894331e7	3.67997819e7	4801929.6	64687.2	1.65534456e7	2108580.4	5129952.2	296717.6	2.3822155e7	1513471.8	493823.5
"fulsom"	7.288553779e8	1.4003035074e9	2.053620569e8	3595296.1	6.604231961e8	6.84819146e7	1.733027369e8	1.49156273e7	7.836623159e8	7.52865915e7	2.81089541e7
"gamteb"	1.421753655e8	2.987593402e8	3.43096295e7	1329226.1	1.148251651e8	2.73317804e7	3.78623502e7	1034922.3	2.235954188e8	1.88085178e7	4308800.4
"gcd"	7.55496205e7	1.945768634e8	9146042.6	21422.5	7.45952791e7	909229.5	2.22490924e7	567978.5	1.460684108e8	1.7115256e7	1690163.5
"gen_regexps"	800379.6	1118601.1	318485.0	3449.8	491731.3	294118.5	186199.1	3028.2	920748.3	56241.3	18324.4
"genfft"	4.80787893e7	1.18936415e8	8441570.7	28594.3	4.67762765e7	1327064.2	1.40657804e7	765383.5	7.39128215e7	7037113.7	3464595.9
"gg"	1.42508014e7	3.19957229e7	2734682.0	27826.8	1.29699602e7	1257506.4	4889500.2	101947.9	2.33085301e7	3080030.8	541978.9
"grep"	374341.5	183661.0	307876.7	3025.1	116719.1	294229.0	19268.0	2592.7	133926.4	37674.0	15751.4
"hidden"	1.2218552744e9	2.649427173e9	2.511966563e8	1851948.2	1.179646902e9	4.23401316e7	3.568352407e8	1.97473618e7	1.662665098e9	1.675766125e8	5.40866169e7
"hpg"	4.128244324e8	4.064299653e8	2.128978942e8	1.12427659e7	1.792866913e8	2.329708516e8	5.1823968e7	2176549.0	3.029598396e8	1.83263843e7	3208829.4
"ida"	1.44766987e8	3.148993188e8	3.30523689e7	66034.5	1.410521007e8	3745359.1	3.94068047e7	2845999.7	1.868709639e8	2.12312139e7	5606944.6
